Date,Time,Humidity,Temperature,
2023-09-08,7:35:00 PM,71.6,22.6,
2023-09-08,7:35:05 PM,71.6,22.6,
2023-09-08,7:35:10 PM,71.5,22.6,
2023-09-08,7:35:15 PM,71.5,22.6,
2023-09-08,7:35:20 PM,71.4,22.6,
2023-09-08,7:35:25 PM,71.4,22.6,
2023-09-08,7:35:30 PM,71.3,22.6,
2023-09-08,7:35:35 PM,71.3,22.6,
2023-09-08,7:35:40 PM,71.3,22.6,
2023-09-08,7:35:45 PM,71.3,22.6,
2023-09-08,7:35:50 PM,71.3,22.55,
2023-09-08,7:35:55 PM,71.3,22.55,
2023-09-08,7:36:00 PM,71.3,22.55,
2023-09-08,7:36:05 PM,71.3,22.55,
2023-09-08,7:36:10 PM,71.3,22.55,
2023-09-08,7:36:15 PM,71.3,22.5,
2023-09-08,7:36:20 PM,71.4,22.55,
2023-09-08,7:36:25 PM,71.4,22.5,
2023-09-08,7:36:30 PM,71.4,22.5,
2023-09-08,7:36:35 PM,71.5,22.5,
2023-09-08,7:36:40 PM,71.5,22.5,
2023-09-08,7:36:45 PM,71.5,22.5,
2023-09-08,7:36:50 PM,71.5,22.45,
2023-09-08,7:36:55 PM,71.5,22.5,
2023-09-08,7:37:00 PM,71.6,22.45,
2023-09-08,7:37:05 PM,71.6,22.5,
2023-09-08,7:37:10 PM,71.6,22.45,
2023-09-08,7:37:15 PM,71.6,22.45,
2023-09-08,7:37:20 PM,71.6,22.45,
2023-09-08,7:37:25 PM,71.6,22.45,
2023-09-08,7:37:30 PM,71.6,22.45,
2023-09-08,7:37:35 PM,71.6,22.45,
2023-09-08,7:37:40 PM,71.6,22.45,
2023-09-08,7:37:45 PM,71.6,22.45,
2023-09-08,7:37:50 PM,71.6,22.45,
2023-09-08,7:37:55 PM,71.6,22.45,
2023-09-08,7:38:00 PM,71.7,22.45,
2023-09-08,7:38:05 PM,71.7,22.45,
2023-09-08,7:38:10 PM,71.9,22.5,
2023-09-08,7:38:15 PM,71.9,22.5,
2023-09-08,7:38:20 PM,72,22.45,
2023-09-08,7:38:25 PM,72,22.5,
2023-09-08,7:38:30 PM,72,22.5,
2023-09-08,7:38:35 PM,72,22.5,
2023-09-08,7:38:40 PM,72,22.5,
2023-09-08,7:38:45 PM,72,22.5,
2023-09-08,7:38:50 PM,71.9,22.55,
2023-09-08,7:38:55 PM,71.9,22.55,
2023-09-08,7:39:00 PM,71.8,22.55,
2023-09-08,7:39:05 PM,71.8,22.55,
2023-09-08,7:39:10 PM,71.8,22.55,
2023-09-08,7:39:15 PM,71.8,22.55,
2023-09-08,7:39:20 PM,71.8,22.55,
2023-09-08,7:39:25 PM,71.7,22.55,
2023-09-08,7:39:30 PM,71.7,22.5,
2023-09-08,7:39:35 PM,71.7,22.5,
2023-09-08,7:39:40 PM,71.7,22.5,
2023-09-08,7:39:45 PM,71.7,22.5,
2023-09-08,7:39:50 PM,71.7,22.5,
2023-09-08,7:39:55 PM,71.7,22.5,
2023-09-08,7:40:00 PM,71.8,22.5,
2023-09-08,7:40:05 PM,71.8,22.5,
2023-09-08,7:40:10 PM,71.8,22.5,
2023-09-08,7:40:15 PM,71.8,22.5,
2023-09-08,7:40:20 PM,71.8,22.5,
2023-09-08,7:40:25 PM,71.8,22.5,
2023-09-08,7:40:30 PM,71.8,22.5,
2023-09-08,7:40:35 PM,71.8,22.5,
2023-09-08,7:40:40 PM,71.8,22.45,
2023-09-08,7:40:45 PM,71.8,22.45,
2023-09-08,7:40:50 PM,71.9,22.45,
2023-09-08,7:40:55 PM,71.9,22.45,
2023-09-08,7:41:00 PM,71.9,22.45,
2023-09-08,7:41:05 PM,71.9,22.45,
2023-09-08,7:41:10 PM,71.9,22.45,
2023-09-08,7:41:15 PM,71.9,22.4,
2023-09-08,7:41:20 PM,71.9,22.45,
2023-09-08,7:41:25 PM,71.9,22.4,
2023-09-08,7:41:30 PM,71.9,22.4,
2023-09-08,7:41:35 PM,72,22.4,
2023-09-08,7:41:40 PM,71.9,22.45,
2023-09-08,7:41:45 PM,71.9,22.4,
2023-09-08,7:41:50 PM,71.9,22.4,
2023-09-08,7:41:55 PM,71.9,22.4,
2023-09-08,7:42:00 PM,71.9,22.4,
2023-09-08,7:42:05 PM,72,22.4,
2023-09-08,7:42:10 PM,72,22.4,
2023-09-08,7:42:15 PM,72,22.45,
2023-09-08,7:42:20 PM,72,22.45,
2023-09-08,7:42:25 PM,72.1,22.45,
2023-09-08,7:42:30 PM,72.1,22.45,
2023-09-08,7:42:35 PM,72,22.45,
2023-09-08,7:42:40 PM,72,22.45,
2023-09-08,7:42:45 PM,72,22.45,
2023-09-08,7:42:50 PM,71.9,22.45,
2023-09-08,7:42:55 PM,71.9,22.45,
2023-09-08,7:43:00 PM,71.8,22.45,
2023-09-08,7:43:05 PM,71.8,22.5,
2023-09-08,7:43:10 PM,71.8,22.5,
2023-09-08,7:43:15 PM,71.8,22.5,
2023-09-08,7:43:20 PM,71.8,22.5,
2023-09-08,7:43:25 PM,71.8,22.45,
2023-09-08,7:43:30 PM,71.8,22.45,
2023-09-08,7:43:35 PM,71.8,22.45,
2023-09-08,7:43:40 PM,71.8,22.45,
2023-09-08,7:43:45 PM,71.8,22.45,
2023-09-08,7:43:50 PM,71.8,22.45,
2023-09-08,7:43:55 PM,71.9,22.45,
2023-09-08,7:44:00 PM,71.9,22.45,
2023-09-08,7:44:05 PM,71.9,22.45,
2023-09-08,7:44:10 PM,71.9,22.45,
2023-09-08,7:44:15 PM,71.9,22.45,
2023-09-08,7:44:20 PM,71.9,22.4,
2023-09-08,7:44:25 PM,72,22.4,
2023-09-08,7:44:30 PM,72,22.4,
2023-09-08,7:44:35 PM,72,22.4,
2023-09-08,7:44:40 PM,72.1,22.4,
2023-09-08,7:44:45 PM,72.1,22.4,
2023-09-08,7:44:50 PM,72.1,22.4,
2023-09-08,7:44:55 PM,72.1,22.4,
2023-09-08,7:45:00 PM,72.1,22.4,
2023-09-08,7:45:05 PM,72.2,22.4,
2023-09-08,7:45:10 PM,72.2,22.4,
2023-09-08,7:45:15 PM,72.3,22.35,
2023-09-08,7:45:20 PM,72.3,22.35,
2023-09-08,7:45:25 PM,72.3,22.4,
2023-09-08,7:45:30 PM,72.3,22.35,
2023-09-08,7:45:35 PM,72.3,22.4,
2023-09-08,7:45:40 PM,72.3,22.35,
2023-09-08,7:45:45 PM,72.3,22.35,
2023-09-08,7:45:50 PM,72.3,22.35,
2023-09-08,7:45:55 PM,72.4,22.35,
2023-09-08,7:46:00 PM,72.4,22.35,
2023-09-08,7:46:05 PM,72.4,22.35,
2023-09-08,7:46:10 PM,72.4,22.35,
2023-09-08,7:46:15 PM,72.4,22.35,
2023-09-08,7:46:20 PM,72.4,22.35,
2023-09-08,7:46:25 PM,72.4,22.35,
2023-09-08,7:46:30 PM,72.4,22.35,
2023-09-08,7:46:35 PM,72.4,22.35,
2023-09-08,7:46:40 PM,72.4,22.35,
2023-09-08,7:46:45 PM,72.3,22.35,
2023-09-08,7:46:50 PM,72.3,22.35,
2023-09-08,7:46:55 PM,72.3,22.35,
2023-09-08,7:47:00 PM,72.3,22.35,
