Date,Time,Humidity,Temperature
2022-11-14,7:22:00 PM,56.5,20.6
2022-11-14,7:22:05 PM,56.4,20.55
2022-11-14,7:22:10 PM,56.4,20.6
2022-11-14,7:22:15 PM,56.3,20.6
2022-11-14,7:22:20 PM,56.2,20.6
2022-11-14,7:22:25 PM,56.2,20.6
2022-11-14,7:22:30 PM,56.2,20.6
2022-11-14,7:22:35 PM,56.1,20.6
2022-11-14,7:22:40 PM,56.1,20.6
2022-11-14,7:22:45 PM,56,20.6
2022-11-14,7:22:50 PM,56,20.6
2022-11-14,7:22:55 PM,56.1,20.6
2022-11-14,7:23:00 PM,55.9,20.65
2022-11-14,7:23:05 PM,55.9,20.65
2022-11-14,7:23:10 PM,56,20.6
2022-11-14,7:23:15 PM,55.9,20.65
2022-11-14,7:23:20 PM,55.9,20.65
2022-11-14,7:23:25 PM,55.9,20.65
2022-11-14,7:23:30 PM,55.9,20.65
2022-11-14,7:23:35 PM,55.9,20.65
2022-11-14,7:23:40 PM,56,20.6
2022-11-14,7:23:45 PM,56,20.65
2022-11-14,7:23:50 PM,56.1,20.6
2022-11-14,7:23:55 PM,56.1,20.65
2022-11-14,7:24:00 PM,56.1,20.65
2022-11-14,7:24:05 PM,56.1,20.6
2022-11-14,7:24:10 PM,56,20.6
2022-11-14,7:24:15 PM,56,20.6
2022-11-14,7:24:20 PM,56,20.6
2022-11-14,7:24:25 PM,56,20.65
2022-11-14,7:24:30 PM,56,20.6
2022-11-14,7:24:35 PM,55.9,20.6
2022-11-14,7:24:40 PM,55.9,20.6
2022-11-14,7:24:45 PM,55.9,20.6
2022-11-14,7:24:50 PM,55.9,20.6
2022-11-14,7:24:55 PM,55.9,20.6
2022-11-14,7:25:00 PM,55.9,20.6
2022-11-14,7:25:05 PM,55.9,20.55
2022-11-14,7:25:10 PM,55.9,20.6
2022-11-14,7:25:15 PM,55.9,20.55
2022-11-14,7:25:20 PM,55.8,20.55
2022-11-14,7:25:25 PM,55.9,20.55
2022-11-14,7:25:30 PM,55.9,20.55
2022-11-14,7:25:35 PM,55.9,20.55
2022-11-14,7:25:40 PM,55.9,20.5
2022-11-14,7:25:45 PM,56,20.5
2022-11-14,7:25:50 PM,56,20.5
2022-11-14,7:25:55 PM,56,20.5
2022-11-14,7:26:00 PM,56.1,20.45
2022-11-14,7:26:05 PM,56.2,20.45
2022-11-14,7:26:10 PM,56.2,20.45
2022-11-14,7:26:15 PM,56.3,20.45
2022-11-14,7:26:20 PM,56.3,20.45
2022-11-14,7:26:25 PM,56.3,20.45
2022-11-14,7:26:30 PM,56.2,20.45
2022-11-14,7:26:35 PM,56.2,20.45
2022-11-14,7:26:40 PM,56.3,20.45
2022-11-14,7:26:45 PM,56.2,20.45
2022-11-14,7:26:50 PM,56.2,20.45
2022-11-14,7:26:55 PM,56.2,20.45
2022-11-14,7:27:00 PM,56.2,20.45
2022-11-14,7:27:05 PM,56.2,20.45
2022-11-14,7:27:10 PM,56.2,20.45
2022-11-14,7:27:15 PM,56.2,20.4
2022-11-14,7:27:20 PM,56.2,20.4
2022-11-14,7:27:25 PM,56.2,20.4
2022-11-14,7:27:30 PM,56.2,20.4
2022-11-14,7:27:35 PM,56.2,20.4
2022-11-14,7:27:40 PM,56.2,20.4
2022-11-14,7:27:45 PM,56.2,20.4
2022-11-14,7:27:50 PM,56.2,20.4
2022-11-14,7:27:55 PM,56.2,20.4
2022-11-14,7:28:00 PM,56.2,20.4
2022-11-14,7:28:05 PM,56.2,20.35
2022-11-14,7:28:10 PM,56.2,20.4
2022-11-14,7:28:15 PM,56.2,20.35
2022-11-14,7:28:20 PM,56.2,20.35
2022-11-14,7:28:25 PM,56.2,20.4
2022-11-14,7:28:30 PM,56.2,20.35
2022-11-14,7:28:35 PM,56.2,20.35
2022-11-14,7:28:40 PM,56.2,20.35
2022-11-14,7:28:45 PM,56.2,20.35
2022-11-14,7:28:50 PM,56.2,20.35
2022-11-14,7:28:55 PM,56.2,20.35
2022-11-14,7:29:00 PM,56.2,20.35
2022-11-14,7:29:05 PM,56.2,20.4
2022-11-14,7:29:10 PM,56.2,20.4
2022-11-14,7:29:15 PM,56.2,20.4
2022-11-14,7:29:20 PM,56.2,20.4
2022-11-14,7:29:25 PM,56.2,20.35
2022-11-14,7:29:30 PM,56.2,20.4
2022-11-14,7:29:35 PM,56.2,20.4
2022-11-14,7:29:40 PM,56.2,20.4
2022-11-14,7:29:45 PM,56.2,20.4
2022-11-14,7:29:50 PM,56.2,20.4
2022-11-14,7:29:55 PM,56.2,20.4
2022-11-14,7:30:00 PM,56.2,20.4
2022-11-14,7:30:05 PM,56.2,20.4
2022-11-14,7:30:10 PM,56.2,20.45
2022-11-14,7:30:15 PM,56.3,20.4
2022-11-14,7:30:20 PM,56.3,20.45
2022-11-14,7:30:25 PM,56.3,20.45
2022-11-14,7:30:30 PM,56.3,20.45
2022-11-14,7:30:35 PM,56.3,20.45
2022-11-14,7:30:40 PM,56.2,20.45
2022-11-14,7:30:45 PM,56.2,20.45
2022-11-14,7:30:50 PM,56.1,20.45
2022-11-14,7:30:55 PM,56.1,20.5
2022-11-14,7:31:00 PM,56,20.5
2022-11-14,7:31:05 PM,56,20.5
2022-11-14,7:31:10 PM,55.9,20.5
2022-11-14,7:31:15 PM,55.9,20.5
2022-11-14,7:31:20 PM,55.8,20.5
2022-11-14,7:31:25 PM,55.8,20.5
2022-11-14,7:31:30 PM,55.8,20.5
2022-11-14,7:31:35 PM,55.8,20.5
2022-11-14,7:31:40 PM,55.8,20.5
2022-11-14,7:31:45 PM,55.7,20.5
2022-11-14,7:31:50 PM,55.8,20.5
2022-11-14,7:31:55 PM,55.7,20.5
2022-11-14,7:32:00 PM,55.8,20.5
2022-11-14,7:32:05 PM,55.7,20.5
2022-11-14,7:32:10 PM,55.7,20.5
2022-11-14,7:32:15 PM,55.7,20.5
2022-11-14,7:32:20 PM,55.7,20.45
2022-11-14,7:32:25 PM,55.8,20.5
2022-11-14,7:32:30 PM,55.7,20.5
2022-11-14,7:32:35 PM,55.7,20.5
2022-11-14,7:32:40 PM,55.7,20.5
2022-11-14,7:32:45 PM,55.7,20.45
2022-11-14,7:32:50 PM,55.8,20.45
2022-11-14,7:32:55 PM,55.8,20.45
2022-11-14,7:33:00 PM,55.8,20.45
2022-11-14,7:33:05 PM,55.8,20.45
2022-11-14,7:33:10 PM,55.8,20.4
2022-11-14,7:33:15 PM,55.9,20.4
2022-11-14,7:33:20 PM,55.9,20.4
2022-11-14,7:33:25 PM,55.9,20.4
2022-11-14,7:33:30 PM,56,20.4
2022-11-14,7:33:35 PM,56,20.35
2022-11-14,7:33:40 PM,56,20.35
2022-11-14,7:33:45 PM,56,20.35
2022-11-14,7:33:50 PM,56,20.35
2022-11-14,7:33:55 PM,56.1,20.35
2022-11-14,7:34:00 PM,56.1,20.3
2022-11-14,7:34:05 PM,56.2,20.3
2022-11-14,7:34:10 PM,56.3,20.3
2022-11-14,7:34:15 PM,56.3,20.3
2022-11-14,7:34:20 PM,56.3,20.3
2022-11-14,7:34:25 PM,56.3,20.3
2022-11-14,7:34:30 PM,56.3,20.3
2022-11-14,7:34:35 PM,56.3,20.3
2022-11-14,7:34:40 PM,56.4,20.3
2022-11-14,7:34:45 PM,56.4,20.3
2022-11-14,7:34:50 PM,56.4,20.25
2022-11-14,7:34:55 PM,56.4,20.3
2022-11-14,7:35:00 PM,56.4,20.3
2022-11-14,7:35:05 PM,56.4,20.25
2022-11-14,7:35:10 PM,56.4,20.3
2022-11-14,7:35:15 PM,56.4,20.3
2022-11-14,7:35:20 PM,56.4,20.25
2022-11-14,7:35:25 PM,56.4,20.3
2022-11-14,7:35:30 PM,56.4,20.25
2022-11-14,7:35:35 PM,56.4,20.25
2022-11-14,7:35:40 PM,56.4,20.3
2022-11-14,7:35:45 PM,56.4,20.3
2022-11-14,7:35:50 PM,56.4,20.3
2022-11-14,7:35:55 PM,56.4,20.25
2022-11-14,7:36:00 PM,56.4,20.3
2022-11-14,7:36:05 PM,56.4,20.3
2022-11-14,7:36:10 PM,56.4,20.3
2022-11-14,7:36:15 PM,56.4,20.3
2022-11-14,7:36:20 PM,56.4,20.3
2022-11-14,7:36:25 PM,56.4,20.3
2022-11-14,7:36:30 PM,56.4,20.3
2022-11-14,7:36:35 PM,56.4,20.3
2022-11-14,7:36:40 PM,56.4,20.35
2022-11-14,7:36:45 PM,56.4,20.35
2022-11-14,7:36:50 PM,56.3,20.35
2022-11-14,7:36:55 PM,56.3,20.35
2022-11-14,7:37:00 PM,56.3,20.4
2022-11-14,7:37:05 PM,56.3,20.35
2022-11-14,7:37:10 PM,56.3,20.4
2022-11-14,7:37:15 PM,56.2,20.4
2022-11-14,7:37:20 PM,56.2,20.4
2022-11-14,7:37:25 PM,56.2,20.4
2022-11-14,7:37:30 PM,56.2,20.4
2022-11-14,7:37:35 PM,56.1,20.4
2022-11-14,7:37:40 PM,56.1,20.4
2022-11-14,7:37:45 PM,56.1,20.4
2022-11-14,7:37:50 PM,56.1,20.45
2022-11-14,7:37:55 PM,56.1,20.45
2022-11-14,7:38:00 PM,56.1,20.45
2022-11-14,7:38:05 PM,56.1,20.45
2022-11-14,7:38:10 PM,56.1,20.45
2022-11-14,7:38:15 PM,56.1,20.45
2022-11-14,7:38:20 PM,56.1,20.45
2022-11-14,7:38:25 PM,56.1,20.45
2022-11-14,7:38:30 PM,56.1,20.45
2022-11-14,7:38:35 PM,56.1,20.5
2022-11-14,7:38:40 PM,56,20.5
2022-11-14,7:38:45 PM,56,20.5
2022-11-14,7:38:50 PM,56,20.5
2022-11-14,7:38:55 PM,56,20.5
2022-11-14,7:39:00 PM,56,20.5
2022-11-14,7:39:05 PM,56,20.5
2022-11-14,7:39:10 PM,56,20.45
2022-11-14,7:39:15 PM,56,20.45
2022-11-14,7:39:20 PM,56,20.5
2022-11-14,7:39:25 PM,56,20.45
2022-11-14,7:39:30 PM,56,20.45
2022-11-14,7:39:35 PM,56,20.45
2022-11-14,7:39:40 PM,56,20.45
2022-11-14,7:39:45 PM,56,20.45
2022-11-14,7:39:50 PM,56.1,20.45
2022-11-14,7:39:55 PM,56.1,20.45
2022-11-14,7:40:00 PM,56.1,20.4
2022-11-14,7:40:05 PM,56.1,20.4
2022-11-14,7:40:10 PM,56.1,20.4
2022-11-14,7:40:15 PM,56.2,20.4
2022-11-14,7:40:20 PM,56.2,20.4
2022-11-14,7:40:25 PM,56.2,20.35
2022-11-14,7:40:30 PM,56.2,20.35
2022-11-14,7:40:35 PM,56.2,20.35
2022-11-14,7:40:40 PM,56.3,20.35
2022-11-14,7:40:45 PM,56.3,20.35
2022-11-14,7:40:50 PM,56.3,20.35
2022-11-14,7:40:55 PM,56.3,20.35
2022-11-14,7:41:00 PM,56.3,20.3
2022-11-14,7:41:05 PM,56.3,20.3
2022-11-14,7:41:10 PM,56.3,20.3
2022-11-14,7:41:15 PM,56.4,20.3
2022-11-14,7:41:20 PM,56.4,20.25
2022-11-14,7:41:25 PM,56.4,20.25
2022-11-14,7:41:30 PM,56.5,20.25
2022-11-14,7:41:35 PM,56.5,20.25
2022-11-14,7:41:40 PM,56.5,20.25
2022-11-14,7:41:45 PM,56.5,20.25
2022-11-14,7:41:50 PM,56.5,20.25
2022-11-14,7:41:55 PM,56.6,20.25
2022-11-14,7:42:00 PM,56.6,20.25
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
